player_name,role,batting_position,special_shot,bowling_style,batting_style,teams,country,age,is_young_star,formats
Fazalhaq Farooqi,Fast Bowler,10-11,N/A - Pure Bowler,Left-arm Fast - Swing Specialist,Left-hand Tail-ender,Delhi Capitals,Afghanistan,24,Yes,T20|IPL
Wanindu Hasaranga,Spin Bowling All-Rounder,8-9,Sweep Shot,Right-arm Leg-break - Googly King,Right-hand Lower-order,Sunrisers Hyderabad,Sri Lanka,27,No,T20|IPL
Maheesh Theekshana,Spin Bowler,9-11,N/A - Pure Bowler,Right-arm Off-break - Mystery Spinner,Right-hand Tail-ender,Chennai Super Kings,Sri Lanka,24,Yes,T20|IPL
Nicholas Pooran,Wicketkeeper Batsman,5-6,Pull Shot - Six Machine,N/A,Left-hand Power-hitter,Lucknow Super Giants,West Indies,29,No,ODI|T20|IPL
Andre Russell,Pace Bowling All-Rounder,6-7,Pull Shot - Power King,Right-arm Fast - Slower Ball Specialist,Right-hand Power-hitter,Kolkata Knight Riders,West Indies,36,No,T20|IPL
Sunil Narine,Spin Bowling All-Rounder,1-7,Unorthodox Slog,Right-arm Off-break - Mystery Spinner,Left-hand Unorthodox,Kolkata Knight Riders,West Indies,36,No,T20|IPL
Alzarri Joseph,Fast Bowler,10-11,N/A - Pure Bowler,Right-arm Fast - Bouncer Specialist,Right-hand Tail-ender,Lucknow Super Giants,West Indies,28,No,T20|IPL
Vaibhav Suryavanshi,Opening Batsman,1-2,Cut Shot - Youngest IPL Player,Right-arm Leg-break,Left-hand Aggressive,Rajasthan Royals,India,13,Yes,T20|IPL
Ayush Mhatre,Opening Batsman,1-2,Cover Drive - Young Talent,N/A,Right-hand Classical,Mumbai Indians,India,17,Yes,T20|IPL
Musheer Khan,Top-Order All-Rounder,3-4,Cover Drive - Rising Star,Right-arm Off-break,Right-hand Classical,Mumbai,India,19,Yes,T20
Noor Ahmad,Spin Bowler,9-11,N/A - Pure Bowler,Left-arm Chinaman - Googly Specialist,Left-hand Tail-ender,Gujarat Titans,Afghanistan,19,Yes,T20|IPL
Mayank Yadav,Fast Bowler,10-11,N/A - Pure Bowler,Right-arm Fast - Express Pace (155+ kmph),Right-hand Tail-ender,Lucknow Super Giants,India,22,Yes,T20|IPL
Dhruv Jurel,Wicketkeeper Batsman,5-7,Pull Shot - Young Keeper,N/A,Right-hand Aggressive,Rajasthan Royals,India,23,Yes,T20|IPL
Nitish Kumar Reddy,Pace Bowling All-Rounder,6-8,Straight Drive,Right-arm Fast-medium,Right-hand Aggressive,Sunrisers Hyderabad,India,21,Yes,T20|IPL
Ramandeep Singh,Batting All-Rounder,6-8,Pull Shot,Right-arm Medium,Right-hand Aggressive,Kolkata Knight Riders,India,27,Yes,T20|IPL
